"","budget","score","year","gross","usa"
"772",25,6.6,7,38.91197,1
"773",25,6.9,7,6.265311,0
"774",10,5.9,7,53.579269,1
"775",6,7.9,7,5.617391,1
"776",35,6.2,7,63.095271,1
"777",14,5.9,7,27.515786,1
"778",11,6.3,7,0.029296,1
"779",35,6.5,7,18.63562,1
"780",19,7.4,7,0.106658,1
"781",20,6.4,7,46.044636,0
"782",30,4.4,7,13.275426,0
"783",14,6.3,7,1.029721,1
"784",15,4.8,7,53.354166,1
"785",35,6,7,4.858139,0
"786",12,6.9,7,6.410676,1
"787",33,6.8,7,5.864949,0
"788",17,4.8,7,42.66,1
"789",8.2,6.1,7,27.9794,1
"790",13,5.9,7,0.428868,1
"791",22,7.4,7,25.842,0
"792",11,7.6,7,32.861136,1
"793",2,5.9,7,0.054207,1
"794",21,6.6,7,12.136938,1
"795",1.5,6.5,7,0.418953,0
"796",30,5.8,7,23.798623,1
"797",15,5.6,7,22.189039,1
"798",7.5,6.8,7,18.899204,1
"799",30,6.1,7,10.997166,1
"800",13.5,7.4,7,11.285588,1
"801",22,4.9,7,44.942695,1
"802",11.5,6.6,7,3.275585,0
"803",6.5,6.2,7,24.103594,1
"804",15,5.1,7,6.419876,1
"805",6,6.7,7,3.273588,1
"806",8,4.3,7,1.71,1
"807",7,4.6,7,12.741891,1
"808",9,6.5,7,14.90491,0
"809",13,6.5,7,6.574896,0
"810",28,7.1,7,0.669276,0
"811",30,5,7,8.023147,1
"812",14,3.9,7,31.888805,1
"813",3,5.3,7,3.902679,1
"814",8,7.6,7,1.299318,1
"815",10,3.6,7,4.247162,1
"816",11,7.6,7,14.681661,0
"817",10.5,7.3,7,0.810455,0
"818",18,5.8,7,1.528163,1
"819",25,5.8,7,8.315975,1
"820",10,3.7,7,0.018369,1
"821",11,6.2,7,16.696219,1
"822",1,7.7,7,6.933459,0
"823",10,5.9,7,18.272447,1
"824",6,5.1,7,12.974636,1
"825",10,5.5,7,18.29,0
"826",1,3.5,7,1.753979,1
"827",14,5.8,7,8.041049,1
"828",12,4.4,7,5.086909,1
"829",25,3.8,7,2.457574,0
"830",10,5.7,7,0.072495,0
"831",12,7.1,7,1.703282,1
"832",19,5.8,7,2.119994,1
"833",11,5.7,7,1.044824,1
"834",8,5.4,7,0.874148,1
"835",11.9,7.4,7,0.048856,0
"836",13,5.9,7,3.125424,1
"837",9,4.9,7,10.058318,1
"838",0.999999,7.2,7,0.23823,1
"839",8.03,5.2,7,3.411885,1
"840",13,5,7,2.570145,1
"841",2.5,5.6,7,0.764083,1
"842",1,7.1,7,2.691899,1
"843",5,4.5,7,0.00297,1
"844",0.8,7.1,7,1.001437,1
"845",25,9.3,8,28.341469,1
"846",8,8.9,8,107.928762,1
"847",55,8.8,8,330.252182,1
"848",45,8.5,8,312.9,1
"849",60,7.6,8,105.264608,1
"850",30,7.2,8,121.248145,1
"851",4.4,7.1,8,52.700832,0
"852",18,6.9,8,119.93873,1
"853",16,7.3,8,127.175354,1
"854",34,7.3,8,50.282766,1
"855",30,7.5,8,66.638883,1
"856",55,7.1,8,71.565669,0
"857",115,7.2,8,146.282411,1
"858",23,7.6,8,50.693162,1
"859",12,6.9,8,72.217,1
"860",63,6.7,8,25.052,1
"861",46,4.8,8,130.512915,1
"862",11.5,6.6,8,20.982557,1
"863",35,6.6,8,75.668868,1
"864",18,7.9,8,5.887457,1
"865",8,6.4,8,18.090181,1
"866",0.23,7.8,8,3.15113,1
"867",45,6.4,8,22.006296,1
"868",62,6.9,8,122.187717,1
"869",15,7.3,8,50.083616,1
"870",40,5.3,8,38.087756,1
"871",0.6,3.2,8,0.141626,1
"872",50,6,8,16.671505,1
"873",35,3.8,8,33.423521,0
"874",20,6.3,8,19.288821,1
"875",5,7.4,8,3.049135,0
"876",8,7.2,8,8.9466,1
"877",31,6.5,8,33.683817,1
"878",45,6.7,8,92.115211,1
"879",75,7,8,101.631272,1
"880",22,6.4,8,144.833357,1
"881",45,5.5,8,57.362581,0
"882",40,6.1,8,24.332324,1
"883",27,6,8,44.342956,1
"884",3,7.2,8,15.185594,0
"885",24,6.1,8,50.236831,1
"886",55,5.5,8,42.61,1
"887",31,7.5,8,24.822619,1
"888",55,6,8,83.015089,1
"889",70,6.2,8,65.012,1
"890",30,6.5,8,51.132598,1
"891",27,6,8,13.670688,1
"892",30,7.3,8,2.869369,0
"893",40,5.1,8,19.721814,1
"894",45,6.3,8,46.815748,1
"895",8,6.6,8,4.350774,1
"896",25,6.7,8,22.150451,1
"897",10,7.6,8,11.546543,0
"898",60,4.6,8,36.763355,1
"899",27,5.8,8,44.853581,0
"900",20,6.4,8,9.771658,1
"901",3.5,6.6,8,16.036534,1
"902",18,5,8,11.300653,1
"903",2.5,7.1,8,6.138485,0
"904",50,4.4,8,38.5905,1
"905",25,4.1,8,6.84157,1
"906",7.4,6.1,8,7.690013,1
"907",2.5,7.3,8,2.881508,0
"908",14,6.9,8,13.64,1
"909",16,6.4,8,3.359465,1
"910",12,4.3,8,8.914777,1
"911",50,6.2,8,30.155037,1
"912",28,6.4,8,11.373501,0
"913",25,6,8,32.055248,1
"914",20,7.5,8,13.383737,1
"915",13,6.7,8,7.881335,1
"916",40,4.4,8,7.138449,1
"917",20,6.1,8,15.34,1
"918",3,7.7,8,21.848932,0
"919",20,7.4,8,39.487686,1
"920",3.5,7.6,8,8.094616,1
"921",25,5.8,8,6.507514,1
"922",11,6.9,8,11.439193,1
"923",7,6.5,8,19.604,1
"924",6.2,3.3,8,0.126247,1
"925",10,5.9,8,29.392418,1
"926",7.85,3.7,8,2.341309,1
"927",0.2,6.3,8,1.359736,1
"928",12,7.3,8,2.104,0
"929",40,5.5,8,43.62215,1
"930",25,6.2,8,26.372663,1
"931",19,5.3,8,7.411659,1
"932",35,5.8,8,20.277185,1
"933",20,4.4,8,11.784,1
"934",15,5.4,8,6.79824,1
"935",0.7,7.1,8,0.376928,1
"936",45,5.6,8,28.72038,1
"937",5,4.7,8,1.702394,1
"938",7,6.6,8,20.851521,1
"939",45,5.2,8,20.928892,1
"940",4,7.3,8,0.253969,0
"941",50,5.4,8,16.4789,1
"942",26,4.3,8,13.829734,0
"943",1.9,8.1,8,0.763847,0
"944",6,6.6,8,38.824341,1
"945",2.8,8,8,2.616503,0
"946",60,5.9,8,18.250211,1
"947",30,4.6,8,18.438164,1
"948",45,5.2,8,30.806194,1
"949",2,4.4,8,2.260622,1
"950",3,7.5,8,6.1016,1
"951",7,6.4,8,2.144667,1
"952",20,6.2,8,27.053498,1
"953",15,6.2,8,3.038499,1
"954",30,5.4,8,1.519366,0
"955",17.08,5.5,8,21.0115,1
"956",20,6.4,8,0.30507,1
"957",2.3,6.8,8,1.095885,1
"958",13,5.3,8,3.134081,1
"959",15,5.7,8,0.070936,1
"960",2.3,7,8,0.856422,1
"961",30,5.9,8,3.180674,1
"962",3.2,7,8,7.266973,1
"963",10.5,6.4,8,0.123509,1
"964",30,5.3,8,3.692874,1
"965",44,5.6,8,10.209111,1
"966",15,6.2,8,1.29906,1
"967",0.2,4.6,8,0.986314,1
"968",0.015,5.6,8,2.408311,1
"969",10.7,2.4,8,1.23808,1
"970",1,6,8,0.446934,1
"971",19.2,6.1,8,3.337685,1
"972",18,5.7,8,7.503192,1
"973",20,5,8,2.30839,0
"974",33,8.6,9,100.125643,1
"975",50,6.9,9,100.475249,1
"976",72,8.4,9,75.6,1
"977",6,8.6,9,23.341568,1
"978",60,8.2,9,67.436818,1
"979",12,6.8,9,56.631572,1
"980",55,6.7,9,141.6,1
"981",29.000001,8,9,57.141459,1
"982",30,8.3,9,191.796233,1
"983",100,5.4,9,184.031112,1
"984",60,7.2,9,106.6,0
"985",52,8.2,9,42.4383,0
"986",1.5,7,9,7.41721,1
"987",45,4.7,9,20.302961,0
"988",50,6,9,100.328194,1
"989",3.5,7.3,9,27.467564,1
"990",2.5,8.1,9,5.535405,1
"991",18,5.8,9,70.454098,1
"992",52,7.6,9,173.837933,1
"993",20,6.2,9,7.564,1
"994",19,6.8,9,65.807024,1
"995",90,7.6,9,100.012499,1
"996",10,6.4,9,25.58875,1
"997",175,6.1,9,88.24622,1
"998",50,5.1,9,81.022101,1
"999",16,7.7,9,43.182776,1
"1000",30.25,6.9,9,72.077,1
"1001",62,6.8,9,65,1
"1002",25,5.3,9,4.064333,1
"1003",9.5,6.6,9,30.862146,1
"1004",35,5.8,9,60.074103,1
"1005",18,7.7,9,1.513028,0
"1006",3.6,7.6,9,31.968347,0
"1007",7,7.2,9,25.62511,1
"1008",30,6.8,9,66.6,0
"1009",42,7.2,9,7.919,1
"1010",30,6.3,9,108.385533,1
"1011",4,6.7,9,4.301331,1
"1012",17,6.7,9,81.057016,1
"1013",32,6.4,9,18.636537,0
"1014",70,5.5,9,34.693481,1
"1015",22,5.6,9,9.417567,1
"1016",17,7.7,9,10.019307,1
"1017",12,5.9,9,46.576136,1
"1018",11,7.6,9,39.387284,0
"1019",25,6.6,9,69.87,1
"1020",20,6.6,9,32.051917,1
"1021",15,5.1,9,37.804616,1
"1022",50,6.6,9,67.823573,1
"1023",9,7.7,9,1.037847,1
"1024",53,7.3,9,91.4,1
"1025",24,7.6,9,71.516617,1
"1026",23,6.4,9,84.919401,1
"1027",20,6.8,9,21.284514,1
"1028",6,7.2,9,2.122561,1
"1029",5,5,9,15.116634,1
"1030",60,5.4,9,50.024083,1
"1031",25,5.6,9,19.076,0
"1032",20,6.7,9,50.012507,1
"1033",15,7.1,9,6.7,1
"1034",50,6.3,9,30.306268,0
"1035",58,6.3,9,53.67208,0
"1036",28,6.9,9,31.6,1
"1037",55,5.9,9,37.600435,1
"1038",30,5.8,9,10.693649,0
"1039",98,5.6,9,10.017322,1
"1040",13,6.7,9,21.088568,1
"1041",22,5.9,9,50.727965,1
"1042",10,6.8,9,24.2,1
"1043",45,5.9,9,35.617599,1
"1044",23,7.3,9,82.569971,1
"1045",50,5.2,9,10.4,1
"1046",20,4.5,9,19.751736,1
"1047",15,4.8,9,13.406717,1
"1048",8,6.6,9,16.115878,1
"1049",30,5.9,9,76.594,1
"1050",0.8,7.4,9,4.771,1
"1051",30,5.9,9,2.167808,1
"1052",20,6.4,9,5.781885,0
"1053",6.5,5.7,9,9.685976,1
"1054",8,6.6,9,0.339889,0
"1055",30,5.6,9,24.048,1
"1056",50,7.1,9,13.56096,1
"1057",50,5.2,9,9.795017,1
"1058",12,5.5,9,17.7255,1
"1059",12,6,9,13.293081,1
"1060",7.5,6.7,9,32.392047,0
"1061",1,7.2,9,0.512245,0
"1062",10,6.2,9,23.57413,1
"1063",11,6.9,9,2.112951,1
"1064",16,5.7,9,67.052156,1
"1065",35,5.7,9,20.350171,1
"1066",25,6.9,9,13.040603,1
"1067",7,6.8,9,0.529766,1
"1068",11,5.9,9,0.178104,1
"1069",5.5,7.3,9,11.079373,1
"1070",0.5,7.6,9,1.148752,1
"1071",7,7.4,9,8.34943,0
"1072",27,6.7,9,16.030096,1
"1073",9,6.3,9,0.83291,1
"1074",68,5.6,9,35.324232,1
"1075",33,6.3,9,8.169363,1
"1076",20,6.6,9,17.51822,1
"1077",40,5.9,9,14.942422,1
"1078",6,6.2,9,11.797927,1
"1079",17,6.4,9,7.603766,1
"1080",21,6.4,9,23.45,1
"1081",32,5.9,9,8.247627,1
"1082",15,4.8,9,6.01434,1
"1083",0.025,6.6,9,10.2466,1
"1084",50,4.1,9,11.534477,1
"1085",0.25,6.5,9,1.977544,1
"1086",7,5.2,9,3.760515,0
"1087",15,6.7,9,3.987649,1
"1088",19,6.7,9,4.1,1
"1089",2,6.7,9,1.275999,1
"1090",10,5.9,9,6.607652,1
"1091",10.5,5.9,9,26.325256,1
"1092",15,5.3,9,12.201255,1
"1093",28,5.6,9,3.983912,0
"1094",6.4,5.1,9,6.849998,1
"1095",8,4.4,9,2.76302,0
"1096",14,5.7,9,2.474,1
"1097",5,6.7,9,3.565508,1
"1098",4,6,9,0.258195,0
"1099",0.15,6.6,9,0.47237,1
"1100",23,6.6,9,5.75011,0
"1101",3,4.4,9,0.294991,1
"1102",6.5,6.2,9,0.536023,1
"1103",11,6.1,9,2.832826,1
"1104",6,4.1,9,5.093707,1
"1105",2,6.8,9,1.20443,0
"1106",8,7.2,9,0.493007,1
"1107",22,6.4,9,12.1,1
"1108",0.15,7.8,9,0.474047,0
"1109",10,5.8,9,0.044757,1
"1110",92,6.3,10,241.721524,1
"1111",3.5,8.2,10,16.501785,0
"1112",7,8.1,10,24.611975,1
"1113",14,7.2,10,103.046663,1
"1114",19,7.3,10,25.75384,1
"1115",75,7,10,306.169255,1
"1116",14.5,6.8,10,46.351345,1
"1117",36,6.8,10,33.084249,1
"1118",12,7,10,38.624,1
"1119",3,6,10,4.109095,1
"1120",44,7.6,10,49.1,1
"1121",27,7.4,10,78.65143,1
"1122",50,7.3,10,153.952592,1
"1123",15,6.3,10,24.881,1
"1124",80,7.1,10,180.981856,1
"1125",30,7.7,10,56.116183,1
"1126",80,6.3,10,90.463534,1
"1127",75,7.4,10,134.069511,1
"1128",40,7.4,10,108.766007,1
"1129",70,6.3,10,37.771017,1
"1130",4,5.1,10,16.675,1
"1131",36,7.3,10,20.191312,1
"1132",31,7,10,124.060553,1
"1133",40,4.4,10,27.663982,1
"1134",100,6.9,10,100.138851,1
"1135",25,6.8,10,7.340103,1
"1136",26,6.9,10,25.809813,1
"1137",0.89,8,10,24.475416,1
"1138",45,7.6,10,92.001027,1
"1139",9,6.4,10,2.03845,0
"1140",55,6.4,10,56.569216,1
"1141",45,6.3,10,53.854588,1
"1142",7,7.1,10,0.560069,1
"1143",15,4.4,10,26.757,1
"1144",75,5.7,10,136.189294,1
"1145",3.8,6.6,10,20.109115,1
"1146",27,6.9,10,24.944213,1
"1147",38,6.7,10,28.934758,0
"1148",4.5,7.4,10,3.798532,1
"1149",40,4.3,10,33.109743,1
"1150",26,6.2,10,105.489203,1
"1151",8.5,5.7,10,15.171475,1
"1152",57,6.4,10,51.367375,1
"1153",54,5.6,10,128.814019,1
"1154",0.2,7.3,10,4.505922,1
"1155",47,6.1,10,60.240295,1
"1156",18,7.8,10,4.414535,0
"1157",30,7.1,10,16.759216,0
"1158",10,6.6,10,4.57333,0
"1159",6,6.7,10,22.201883,0
"1160",50,5.7,10,25.477365,1
"1161",65,6.7,10,33.328051,1
"1162",45,5.8,10,58.620973,1
"1163",100,6.1,10,101.295562,1
"1164",50,6,10,70.770147,1
"1165",45,6,10,20.1,1
"1166",9,6.8,10,36.049108,1
"1167",25,6.3,10,14.048372,1
"1168",55,6.8,10,38.619405,0
"1169",4.1,7.3,10,11.881039,1
"1170",60,5.5,10,60.573641,1
"1171",31,6,10,25.785603,1
"1172",80,6.6,10,136.492681,1
"1173",55,6.3,10,50.047179,1
"1174",67,6.4,10,17.6,1
"1175",32,6.4,10,104.636382,1
"1176",23,6.7,10,12.782508,1
"1177",46,6.6,10,59.031057,1
"1178",20,6.8,10,9.714482,1
"1179",3,7.3,10,0.222559,1
"1180",5.5,7.7,10,35.811509,0
"1181",80,5.8,10,33.023469,1
"1182",45,4.9,10,17.300889,1
"1183",3.3,6.9,10,2.961991,1
"1184",3.5,6,10,9.449219,1
"1185",3,6.9,10,0.295493,1
"1186",18,5.3,10,26.906039,1
"1187",8,5.7,10,3.594848,1
"1188",30,5.5,10,21.6,1
"1189",55,5.8,10,18.573791,1
"1190",13,5.3,10,5.587855,1
"1191",4,7.6,10,2.923982,1
"1192",28,7.1,10,11.092559,0
"1193",38,6.6,10,10.3,1
"1194",4.5,8,10,13.417292,0
"1195",5,7.5,10,13.269963,1
"1196",20,2.8,10,18.876581,1
"1197",20,6.1,10,26.7927,1
"1198",13,4.5,10,17.883659,1
"1199",25,5.8,10,21.16242,1
"1200",36,6.7,10,13.052741,1
"1201",50,5.6,10,20.550712,1
"1202",29,6.2,10,11.5,1
"1203",45,5.3,10,20.1,1
"1204",42,6.5,10,41.252428,1
"1205",15,5.6,10,21.397954,1
"1206",60,6.1,10,51.088705,1
"1207",25.53,5.2,10,20.047715,1
"1208",40,5.5,10,48.102795,1
"1209",12,6.8,10,63.071133,1
"1210",13,5.4,10,4.611624,1
"1211",7,5.7,10,1.055525,1
"1212",13,5.9,10,26.539321,1
"1213",8,5.7,10,34.746109,1
"1214",7,6.8,10,14.891,1
"1215",44,5.6,10,22.754725,1
"1216",39,5.7,10,30.356793,1
"1217",25,5.4,10,14.502483,1
"1218",30,5.6,10,8.289972,1
"1219",21.5,6.5,10,22.294341,1
"1220",25,5.3,10,15.09453,0
"1221",7,7,10,0.405144,0
"1222",47,5.8,10,5.6,1
"1223",8,5,10,5.612586,1
"1224",38,6.1,10,17.305211,1
"1225",1.3,7.2,10,0.695229,1
"1226",3,7,10,0.153155,1
"1227",35,6.1,10,8.797839,1
"1228",24,2.6,10,6.288,1
"1229",18,6,10,2.780278,1
"1230",50,6,10,14.551359,1
"1231",15,2.4,10,2.409225,1
"1232",40,6.2,10,20.2,1
"1233",23,5.7,10,11.567023,1
"1234",5,7.3,10,0.551545,0
"1235",25,5.3,10,17.1,1
"1236",12.5,6.6,10,1.227324,1
"1237",12,5,10,4.903,1
"1238",2.309723,5.9,10,0.04962,1
"1239",22,6.1,10,1.075288,1
"1240",25,5.7,10,5.005,1
"1241",30,5.1,10,31.356117,1
"1242",8,5.5,10,0.080026,1
"1243",25,4.1,10,2.415593,0
"1244",25,6.2,10,10.07,1
"1245",5,6.1,10,0.326308,1
"1246",0.5,6.7,10,0.502313,1
"1247",17,4.9,10,3.308758,1
"1248",6,7.2,10,0.392362,1
"1249",16,6.4,10,2.002,1
"1250",24,5.4,10,0.592871,0
"1251",30,5.3,10,4.357,1
"1252",19,6.3,10,1.353824,0
"1253",5,4.9,10,4.635344,1
"1254",7,5.8,10,0.106606,0
"1255",6,6.9,10,12.643776,1
"1256",19,3.9,10,4.932915,0
"1257",200,7.8,11,658.672302,1
"1258",10,8.3,11,138.433435,1
"1259",93,7.7,11,63.54002,0
"1260",80,6,11,17.626234,1
"1261",85,7.2,11,99.046791,1
"1262",20,8.6,11,57.598247,0
"1263",105,7.2,11,54.814377,1
"1264",90,7.4,11,100.920329,1
"1265",62,6.9,11,1.4,1
"1266",75,6.8,11,101.117573,1
"1267",15,7.9,11,26.40064,1
"1268",90,7.3,11,250.690539,1
"1269",35,8.3,11,64.61694,1
"1270",125,3.7,11,107.325195,1
"1271",80,7.3,11,112.225777,1
"1272",50,7.8,11,48.323648,1
"1273",36,7.8,11,12.339633,1
"1274",57,7.5,11,60.984028,1
"1275",17,5.6,11,72.586134,1
"1276",12,7.5,11,39.673162,1
"1277",75,6.2,11,47.74861,1
"1278",73,6.5,11,229.086679,1
"1279",60,6.7,11,26.673242,0
"1280",110,6.5,11,125.332007,0
"1281",50,7.1,11,58.406347,1
"1282",90,5.4,11,49.323468,1
"1283",35,7.8,11,41.909762,1
"1284",50,7.7,11,148.478011,1
"1285",17,7,11,53.883989,1
"1286",15,7.6,11,3.796699,0
"1287",40,7.1,11,45.856732,1
"1288",45,6.8,11,181.410615,1
"1289",116,5.9,11,67.12776,1
"1290",20,6.7,11,35.422828,1
"1291",40,5.2,11,54.967359,1
"1292",46,6.3,11,127.120029,1
"1293",24,6.1,11,101.363301,1
"1294",45,4.7,11,65.885767,1
"1295",1.3,6.7,11,0.01982,1
"1296",36,7.3,11,44.175394,1
"1297",55,5.4,11,105.263257,1
"1298",85,6.5,11,172.956409,1
"1299",30,5.9,11,25.48049,1
"1300",32,4.3,11,30.882515,1
"1301",1,6.2,11,0.582024,1
"1302",22,6.4,11,45.319423,0
"1303",70,7,11,37.957682,1
"1304",0.18,8.4,11,0.925402,0
"1305",15,7.4,11,28.014536,1
"1306",50,5.9,11,48.169156,1
"1307",3.5,7.2,11,45.950122,0
"1308",27,6.6,11,60.527873,1
"1309",0.25,7.3,11,12.006514,1
"1310",25,3.4,11,29.342592,0
"1311",50,6.7,11,50.007168,1
"1312",30,3.7,11,35.927406,1
"1313",10,6.9,11,44.886089,1
"1314",35,6.3,11,63.856929,1
"1315",18,7.5,11,7.837632,1
"1316",60,6.4,11,54.93028,1
"1317",19,6.8,11,6.6334,0
"1318",20,6.8,11,41.198146,1
"1319",9,5.7,11,23.687907,1
"1320",35,6.6,11,25.078937,1
"1321",15,7.1,11,43.022524,1
"1322",68,6.2,11,61.355436,1
"1323",160,3.8,11,48.608066,1
"1324",25,5.9,11,36.429528,1
"1325",86,6.1,11,42.868348,1
"1326",75,6.7,11,75.982834,1
"1327",29,5.8,11,22.359293,0
"1328",32,5.1,11,59.925026,1
"1329",36,6.9,11,50.129186,1
"1330",80,5.2,11,92.977226,1
"1331",38,6.4,11,61.917389,1
"1332",10,5.5,11,31.058643,1
"1333",50,5.9,11,41.26314,1
"1334",30,6.3,11,23.461013,1
"1335",16,2.8,11,1.710972,1
"1336",10,6.9,11,2.157701,0
"1337",22,5.1,11,26.570463,0
"1338",5,5.7,11,15.719109,1
"1339",60,5,11,16.228448,1
"1340",3,5.1,11,24.629916,1
"1341",40,5.7,11,33.956608,0
"1342",7.5,7,11,43.490057,1
"1343",25,6.2,11,41.067398,1
"1344",37,6.4,11,6.482195,1
"1345",1,6,11,0.125397,1
"1346",20,7.4,11,10.569071,1
"1347",25,6.7,11,44.455658,1
"1348",28,7,11,5.532301,1
"1349",30,4.7,11,11.438337,1
"1350",20,5.3,11,14.327206,1
"1351",1,5.6,11,1.950218,1
"1352",12,6.4,11,4.266243,0
"1353",35,6.4,11,0.79183,1
"1354",12,5.6,11,4.052347,1
"1355",35,4.6,11,6.448817,1
"1356",48,6.3,11,22.41544,1
"1357",20,6.6,11,13.801755,1
"1358",25,7.2,11,13.104494,1
"1359",18,5.9,11,7.221836,0
"1360",25,6.4,11,9.38126,0
"1361",5,7,11,1.692872,1
"1362",8,6.8,11,0.53219,1
"1363",28,5.4,11,8.119205,1
"1364",30,3.9,11,21.382456,1
"1365",20,6.7,11,5.71608,1
"1366",32,6.9,11,3.562749,1
"1367",6,7,11,6.302154,1
"1368",6,7.3,11,14.821531,1
"1369",8,3.5,11,8.109349,1
"1370",50,6.2,11,10.556196,1
"1371",3.3,6.7,11,0.074188,0
"1372",55,5.5,11,31.987563,1
"1373",9,6.9,11,0.339648,0
"1374",17,5,11,3.506206,1
"1375",35,6.4,11,2.221994,0
"1376",5,7.2,11,20.733485,1
"1377",24,5.8,11,2.618335,1
"1378",85,5.1,11,28.659604,1
"1379",35,5.7,11,31.611225,1
"1380",1.5,6.7,11,0.617403,1
"1381",3,5.3,11,3.55999,1
"1382",10,7.3,11,10.2,1
"1383",53,4.7,11,19.736932,1
"1384",8,6.2,11,1.495332,1
"1385",15,5.7,11,0.000309,1
"1386",11,5.6,11,14.708874,1
"1387",31.19,4.4,11,4.529843,1
"1388",10,7.4,11,12.514138,1
"1389",0.025,7.3,11,2.856622,0
"1390",15,5.1,11,10.713605,1
"1391",12,5.4,11,7.01524,1
"1392",16,5.3,11,11.48688,1
"1393",7,7.6,11,0.106292,0
"1394",18,4.8,11,3.247524,1
"1395",1,4.8,11,3.47837,1
"1396",16,6.8,11,1.921471,0
"1397",2.7,7.1,11,9.054736,1
"1398",45,4.9,11,2.15454,1
"1399",71,4.8,11,11.466088,1
"1400",25,5.5,11,6.320276,1
"1401",3,6.6,11,0.302204,0
"1402",5,5.6,11,0.283033,0
"1403",4,5.8,11,0.046362,1
"1404",10,3.5,11,0.045779,1
"1405",4.5,7.8,11,0.713413,0
"1406",70,8.6,12,216.540909,1
"1407",15,8.2,12,17.451873,1
"1408",7.5,8.5,12,6.719864,1
"1409",90,7.6,12,120.620254,1
"1410",140,6.6,12,201.573391,1
"1411",60,8.1,12,125.618201,1
"1412",0.06,7.5,12,3.21697,1
"1413",23,7.1,12,176.484651,1
"1414",45,7.1,12,70.087718,1
"1415",25,5.4,12,32.38385,1
"1416",90,7.1,12,44.6191,1
"1417",48,6.2,12,46.683377,1
"1418",60,6.1,12,32.940507,1
"1419",52,7.6,12,36.400491,1
"1420",27,7.7,12,14.378331,0
"1421",20,6.5,12,29.753944,1
"1422",55,7.3,12,41.616262,0
"1423",18.5,7.7,12,10.680275,1
"1424",25,7.2,12,100.317794,1
"1425",33,6.9,12,141.153686,1
"1426",65,6.6,12,115.821495,1
"1427",20,6.1,12,161.491646,1
"1428",75,6.1,12,140.464664,1
"1429",80,5.1,12,69.117629,1
"1430",120,7.2,12,162.798565,1
"1431",9,7.7,12,17.105219,1
"1432",70,7,12,101.2179,1
"1433",15,6.4,12,40.064955,1
"1434",90,7.3,12,111.549836,1
"1435",85,7,12,55.485043,1
"1436",48,7,12,37.562568,1
"1437",20,6.1,12,20.241395,1
"1438",65,6.7,12,94.095523,1
"1439",35,6.5,12,56.968902,1
"1440",26,7,12,65.705771,1
"1441",18,6.8,12,80.245725,1
"1442",60,4.6,12,21.45613,1
"1443",17,5.7,12,55.041738,1
"1444",70,5.8,12,74.329966,1
"1445",15,5.5,12,17.411331,0
"1446",130,5.3,12,136.314294,1
"1447",40,7.5,12,40.568025,1
"1448",30,5.9,12,60.053195,1
"1449",60,6,12,14.567883,0
"1450",40,6.1,12,54.682547,1
"1451",12,7.4,12,22.905674,1
"1452",10,6.5,12,25.339117,1
"1453",60,6.5,12,57.167405,1
"1454",0.006,7.6,12,0.048482,0
"1455",30,7.5,12,30.082699,0
"1456",25,6.8,12,26.333044,1
"1457",8,6.7,12,17.27898,1
"1458",14,5.5,12,38.072438,1
"1459",58,6.4,12,70.117571,1
"1460",28,4.8,12,13.979599,1
"1461",17,6.2,12,30.324946,1
"1462",50,6.7,12,91.137662,1
"1463",140,6.6,12,130.444603,1
"1464",90,6.7,12,135.026902,1
"1465",60,3.7,12,23.322832,1
"1466",71.5,5.3,12,144.156605,1
"1467",105,6.6,12,90.757863,1
"1468",73,6,12,55.585389,1
"1469",50,7.3,12,44.484065,0
"1470",24,4.6,12,40.002112,1
"1471",66,7,12,83.898313,1
"1472",14,6.7,12,8.838938,1
"1473",3,7.8,12,2.80739,1
"1474",55,6.7,12,78.685114,0
"1475",13,5.8,12,16.574731,1
"1476",1.5,7.5,12,2.375097,1
"1477",60,6.5,12,67.638368,1
"1478",9,6.8,12,11.883495,0
"1479",80,6,12,37.020277,1
"1480",70,6.3,12,40.981289,1
"1481",10,7.7,12,9.473382,0
"1482",60,6.6,12,75.383563,1
"1483",8,7.3,12,4.530929,1
"1484",9,8.1,12,0.259127,0
"1485",30,6.1,12,18.967571,1
"1486",24,5.9,12,100.494675,1
"1487",30,6.8,12,26.525834,1
"1488",1.3,8.1,12,1.64778,0
"1489",10,6.3,12,9.801782,1
"1490",85,5.3,12,34.54503,1
"1491",4.5,5.7,12,23.03139,1
"1492",25,6.9,12,21.554585,1
"1493",13,6.4,12,9.975684,0
"1494",45,6,12,11.203026,1
"1495",17,7.5,12,16.311763,0
"1496",2.5,6.9,12,0.007235,0
"1497",30,7,12,23.24584,1
"1498",13,6.1,12,27.052167,1
"1499",40,6.2,12,22.717758,1
"1500",30,6.9,12,18.252684,1
"1501",90,5.6,12,50.632037,1
"1502",27,6,12,10.297897,1
"1503",2,7.2,12,6.7193,0
"1504",3,6,12,9.630169,0
"1505",12,6.3,12,5.032496,1
"1506",5,6.5,12,5.881367,1
"1507",75,6.5,12,56.702901,1
"1508",30,6,12,85.744662,0
"1509",15,6,12,29.106737,1
"1510",70,5.8,12,19.819494,1
"1511",3.5,7.5,12,6.390032,1
"1512",5,6.6,12,5.480318,1
"1513",6,6.4,12,2.281761,1
"1514",14,7.2,12,3.956212,0
"1515",20,5.6,12,37.67235,1
"1516",80,5.9,12,22.852487,1
"1517",3,7.3,12,24.788807,0
"1518",65,6.7,12,38.966057,0
