"","budget","score","year","gross","usa"
"176",1.1,6,1,1.355728,1
"177",5,4.8,1,0.85825,1
"178",4,5.5,1,0.743445,1
"179",15,5.4,1,5.711976,1
"180",14,5.2,1,20.240502,1
"181",12,6,1,2.325444,1
"182",15,7.5,2,73.707461,1
"183",39,7,2,128.1523,1
"184",9,6.6,2,33.244684,1
"185",28,8.2,2,83.008852,1
"186",35,7.3,2,57.269863,1
"187",3,7.3,2,1.108462,1
"188",25,8,2,172.825435,1
"189",4,7.3,2,13.008928,1
"190",70,7.7,2,156.45237,1
"191",18,7.3,2,114.968774,1
"192",20,5.8,2,78.222753,1
"193",5,8.5,2,11.990401,0
"194",19,6.4,2,8.247943,1
"195",3.5,6.2,2,4.385516,1
"196",7.5,7.6,2,63.493712,0
"197",2,6.1,2,15.625095,1
"198",30,7.6,2,38.413606,1
"199",3,6.5,2,11.090735,0
"200",15,7.8,2,34.603943,1
"201",12,7.6,2,78.041829,1
"202",1.1,6.8,2,11.806119,1
"203",28,6.7,2,64,1
"204",14,5.5,2,109.305,0
"205",12.5,7.4,2,48.092846,1
"206",15,6,2,111.9364,1
"207",14,7.7,2,34.7,1
"208",17,7.4,2,10.006806,1
"209",5,5.9,2,17.768757,1
"210",13,6.8,2,45.661556,1
"211",29,6,2,34.994648,1
"212",6,6.2,2,12.793213,1
"213",63,5.7,2,53.715611,1
"214",6,7.1,2,32.069318,0
"215",7,7.6,2,7.630564,0
"216",2,7,2,6.671108,1
"217",13,5.7,2,49.369899,1
"218",24,6.6,2,41.45523,1
"219",7,7.1,2,50.888729,1
"220",7.5,6,2,18.869631,1
"221",10,5.2,2,3.916303,0
"222",31,6.7,2,74.151346,1
"223",31,6.3,2,37.903295,1
"224",7.5,6.4,2,5.596267,1
"225",32,7,2,60.328558,1
"226",23,6,2,41.292551,1
"227",20,6.9,2,17.63795,1
"228",2.8,5.3,2,19.170001,1
"229",8,6.3,2,22.433275,1
"230",46.63,7.2,2,8.083123,0
"231",13,7.3,2,9.134733,0
"232",10.5,4.6,2,14.114488,1
"233",7.5,5.9,2,2.983784,1
"234",3,6.6,2,13.030057,1
"235",22,4.5,2,17.550399,1
"236",1.1,6,2,0.671382,1
"237",10,6.1,2,21.486757,1
"238",6,6.7,2,46.616067,1
"239",17,5.7,2,8.578231,0
"240",3,7.7,2,2.835116,1
"241",1.2,6.3,2,3.109904,1
"242",13,3.4,2,6.424112,1
"243",4.5,5.3,2,3.813293,1
"244",20,5.2,2,13.854,1
"245",6.2,5.8,2,9.205924,1
"246",22,7,2,24.720479,1
"247",2,5.9,2,0.725131,1
"248",2.5,5.9,2,1.189315,0
"249",7,6.5,2,19.595031,1
"250",5,5.9,2,3.569939,0
"251",6,7.3,2,5.680515,1
"252",4.7,6.7,2,1.705139,1
"253",0.7,7.6,2,7.179298,0
"254",3,6.5,2,7.282851,1
"255",25,5.6,2,16.118077,0
"256",7,6.2,2,5.344577,1
"257",19,6.1,2,25.537221,1
"258",16,6.3,2,25.216243,1
"259",7,5.2,2,20.257,1
"260",22,6.9,2,13.825794,1
"261",23,6.9,2,19.652638,1
"262",6.5,5.8,2,14.545844,1
"263",3.7,7,2,1.145404,1
"264",17.5,5.3,2,18.924919,1
"265",4,6.9,2,0.670774,0
"266",10,7.4,2,1.562749,1
"267",9,7.2,2,2.181286,1
"268",15,6.9,2,6.908797,0
"269",20,6.6,2,43.184798,1
"270",4,7.3,2,3.468572,1
"271",20,3.7,2,11.798302,1
"272",18,5.5,2,1.883811,1
"273",19,6.3,2,25.816139,1
"274",16,5,2,4.19244,0
"275",6,5.5,2,0.040397,1
"276",14,5,2,6.640346,1
"277",5,6,2,3.588626,1
"278",0.21,4.5,2,0.107352,1
"279",15,6,2,1.73307,1
"280",15,5.8,2,21.032267,1
"281",8,6.1,2,0.78499,1
"282",20,5.9,2,11.444204,1
"283",6,5.6,2,28.202109,1
"284",3,6.4,2,1.884315,1
"285",4,6.9,2,16.262415,1
"286",6,5.9,2,10.068039,1
"287",19,5.7,2,11.005304,1
"288",8,6.4,2,1.893139,1
"289",6,5.5,2,1.869148,0
"290",14,5.9,2,4.764606,1
"291",19,5.7,2,4.594452,1
"292",1,6,2,0.492519,1
"293",5,5.9,2,0.429028,0
"294",4,5.6,2,9.797098,1
"295",13,5.7,2,5.509417,1
"296",18,5.9,2,9.129999,1
"297",14,6.2,2,0.459824,1
"298",13,4.2,2,0.259019,1
"299",5,5,2,0.807947,1
"300",12,5.7,2,3.965604,1
"301",1.6,5.4,2,0.419428,1
"302",7,4.9,2,0.136203,0
"303",16.4,8,3,95.860116,1
"304",35,7.6,3,251.188924,1
"305",11.5,6.6,3,57.469179,1
"306",48,8.3,3,197.171806,1
"307",40,7.6,3,111.543479,1
"308",55,6.3,3,63.408614,1
"309",17,6.5,3,30.050028,1
"310",27,7.6,3,71.32,1
"311",10,6.9,3,40.485039,1
"312",40,7.8,3,118.5,1
"313",70,7.6,3,54.461047,1
"314",15,7,3,66.758538,1
"315",6.5,7.9,3,27.545445,1
"316",18,7.9,3,26.83,1
"317",16,7.6,3,92.8236,1
"318",37,6.5,3,112.494738,1
"319",7.5,5.8,3,140.088813,1
"320",25,5.8,3,15.704614,1
"321",18,6.3,3,130.724172,1
"322",11,7.2,3,49.797148,1
"323",14,7.2,3,70.001698,1
"324",31,7,3,100.04783,1
"325",28,7.2,3,147.253986,1
"326",32,6.6,3,34.667015,0
"327",31,6.4,3,43.85879,1
"328",1.2,7.2,3,24.7417,1
"329",10,7.4,3,31.906454,1
"330",27.8,5.4,3,52.210049,1
"331",7.5,7.4,3,106.593296,1
"332",10,6.2,3,2.77728,1
"333",22.5,7.1,3,18.671317,1
"334",18,6.8,3,46.908987,1
"335",1.5,6.4,3,14.697005,1
"336",6,5.1,3,22.168359,1
"337",3,5.2,3,11.642254,1
"338",5,4.6,3,14.343976,1
"339",30,5.9,3,60.86487,1
"340",30,6.6,3,46.212055,1
"341",13.8,6.7,3,27.100027,0
"342",0.5,5,3,10.166459,1
"343",8,6.1,3,35.15096,1
"344",6,6,3,14.2789,1
"345",9,7.7,3,10.161099,0
"346",18,5.5,3,8.508843,1
"347",19,6.8,3,58.571513,1
"348",5,6.4,3,1.7,1
"349",33,7,3,1.132112,0
"350",2.5,7.4,3,4.729352,1
"351",7,6.2,3,9.094451,1
"352",35,7.2,3,1.36821,0
"353",24,6.4,3,22.099847,1
"354",3,5.6,3,0.076325,1
"355",5,7,3,6.157157,1
"356",13,6.8,3,16.823529,1
"357",5,6.3,3,6.957975,0
"358",19,8,3,18.254702,1
"359",2.8,7.6,3,0.367879,1
"360",8,5.2,3,8.143225,1
"361",5,5.4,3,16.554699,1
"362",15,6.1,3,40.59,1
"363",10,6.3,3,2.692037,1
"364",12,5.7,3,15.942628,1
"365",15,6.4,3,10.763469,1
"366",10,5.3,3,1.272977,1
"367",15,6.5,3,28.89024,1
"368",4,4.5,3,0.192816,1
"369",20,6,3,10.555348,1
"370",16,6.4,3,16.27859,1
"371",20,6.1,3,7.237794,1
"372",17,6,3,43.247647,1
"373",19,5.3,3,12.143484,1
"374",8,4.3,3,16.093651,1
"375",3,4.9,3,1.738897,1
"376",12,4.2,3,11.567217,1
"377",19,6.2,3,19.738015,1
"378",13,6.3,3,22.03,1
"379",5,5.7,3,1.919653,1
"380",3,6.2,3,0.870532,0
"381",5,6.3,3,0.117463,1
"382",18,6.4,3,10.647219,1
"383",18,6.9,3,4.973285,1
"384",18,5.9,3,3.531971,1
"385",3,7.5,3,4.609953,1
"386",4,6.3,3,0.283694,1
"387",2.3,5.1,3,0.792966,1
"388",2.5,4.1,3,0.043749,1
"389",1.5,5.6,3,1.519796,0
"390",0.075,7.5,3,0.546541,1
"391",11.5,6.8,3,2.260616,1
"392",34,5.8,3,3.574256,1
"393",20,6.3,3,2.420917,1
"394",16,4.6,3,0.067878,1
"395",14,6.1,3,5.932613,1
"396",17,5.1,3,3.560932,1
"397",4,5.7,3,0.043671,1
"398",5,6.1,3,8.153677,1
"399",6,6.1,3,1.877618,1
"400",26,6.6,4,61.49,1
"401",25,8.7,4,46.836394,1
"402",20,7.8,4,61.276872,1
"403",65,7.5,4,119.39484,1
"404",14,7,4,178.406268,1
"405",18,7.5,4,285.761243,1
"406",20,7.9,4,56.362352,1
"407",54,7.6,4,66.666062,1
"408",22,8,4,184.208848,1
"409",30,7.6,4,122.012643,1
"410",13,5.8,4,28.501605,1
"411",22,7,4,217.631306,1
"412",11,7.1,4,16.667084,1
"413",25,5.7,4,39.404261,1
"414",9.5,7.2,4,14.560247,1
"415",25,7.5,4,26.118851,1
"416",13.5,6.7,4,135.265915,1
"417",31,6.4,4,53.20818,1
"418",70,7.1,4,117.540947,1
"419",47,6.1,4,103.738726,1
"420",10,5.3,4,53.4709,1
"421",60,5.9,4,82.670733,1
"422",11,6.5,4,8.266343,1
"423",40,7.4,4,87.727583,1
"424",42,5.2,4,40.946358,1
"425",26,6.1,4,91.457688,1
"426",35,6.2,4,30.669413,1
"427",36,5.1,4,17.373527,1
"428",35,5.8,4,45.681173,1
"429",14,7.8,4,5.080409,1
"430",40,6.3,4,21.413502,1
"431",16,6.4,4,33.878502,1
"432",22,6.9,4,86.303188,1
"433",50,6.3,4,41.482207,1
"434",11,6.5,4,8.862354,1
"435",31,6.6,4,35.419397,1
"436",4.2,6.9,4,5.835247,1
"437",3.5,6.2,4,16.324573,1
"438",3,6.1,4,24.078196,1
"439",10,5.7,4,47.41,1
"440",10.5,4.8,4,11.582891,1
"441",30,6.9,4,27.931461,1
"442",20,6.5,4,44.14341,1
"443",2.5,6.3,4,26.386,1
"444",5.2,5.8,4,2.459895,1
"445",12,5.9,4,46.0444,1
"446",35,5.7,4,31.053601,1
"447",10,5.8,4,21.633874,1
"448",20,6.8,4,21.413105,0
"449",18,6.4,4,29.381956,1
"450",47,5.5,4,15.691192,1
"451",25,5.4,4,6.939946,1
"452",12,7.8,4,1.963207,0
"453",1.5,5.9,4,5.728953,0
"454",23,6.9,4,27.441977,0
"455",7,6,4,4.348368,1
"456",20,5.9,4,70.98,1
"457",18,5.4,4,2.742912,1
"458",38,5.8,4,80.818974,1
"459",22,6.7,4,37.963281,1
"460",15,6.8,4,15.260154,1
"461",19,6.1,4,10.005969,1
"462",4,5.6,4,16.853487,0
"463",2.5,6.1,4,0.205068,1
"464",20,6.3,4,15.379253,1
"465",10,6.6,4,16.1536,1
"466",23,6.3,4,5.820015,1
"467",22,4.7,4,14.760451,1
"468",7,6.2,4,12.626043,1
"469",25,6.8,4,2.075084,0
"470",40,6.1,4,9.24314,1
"471",9,6.1,4,0.349618,0
"472",12,6.6,4,7.331647,1
"473",24,6.7,4,2.319124,1
"474",0.225,7.5,4,2.938208,1
"475",0.7,7.5,4,0.356122,0
"476",2,6.1,4,1.627955,1
"477",10,5.7,4,22.424195,1
"478",3,5.3,4,15.369573,1
"479",0.35,4.4,4,1.242995,1
"480",15,4.8,4,5.585154,1
"481",6.5,4.7,4,2.032973,1
"482",11.5,5.5,4,0.334748,1
"483",5,5.4,4,0.485772,1
"484",0.242,2.3,4,0.23315,1
"485",10,5.7,4,2.34615,1
"486",42,7.1,4,0.307775,0
"487",19,8.6,5,130.742922,1
"488",102,8.5,5,204.84335,1
"489",25,8,5,218.96762,1
"490",6.5,7.8,5,57.504069,1
"491",30,6.8,5,113.502,1
"492",11,7.7,5,82.418501,1
"493",70,6.7,5,119.654823,1
"494",24,7.2,5,43.218387,0
"495",16.5,7.4,5,45.361,1
"496",35,7.3,5,79.1,1
"497",17,6.8,5,59.847242,1
"498",48,6.9,5,165.5,1
"499",13,5,5,14.960255,0
"500",11,5.1,5,2.807854,1
"501",30,7.2,5,74.888996,1
"502",40,8,5,70.405498,0
"503",9,7.7,5,6.153939,1
"504",35,6.4,5,46.704056,1
"505",16,7.1,5,2.541541,0
"506",26,6.7,5,69.467617,1
"507",40,4.9,5,8.479793,1
"508",15,4.6,5,25.1047,1
"509",35,7,5,63.71,1
"510",2.5,7.1,5,6.401336,1
"511",27,6.7,5,124.033791,1
"512",38,7.2,5,35.183792,1
"513",24,7.6,5,41.895491,1
"514",29,6.9,5,59.509925,1
"515",75,6.7,5,77.868585,1
"516",19,6.2,5,101.599005,1
"517",6,6.3,5,24.204154,1
"518",10,6.5,5,15.073942,1
"519",8.5,6.6,5,47.624253,1
"520",25,6,5,78.656813,1
"521",11,4.9,5,34.872033,1
"522",65,5.8,5,17.21808,1
"523",20,6.2,5,38.037513,1
"524",6.788,5.8,5,43.878334,1
"525",15,5.5,5,30.102717,1
"526",3.5,7.8,5,2.01581,0
"527",13.5,6.1,5,26.255594,1
"528",29,6.7,5,22.773535,1
"529",35,6.4,5,23.562716,1
"530",30,6.8,5,49.114016,1
"531",30,6.7,5,74.787599,1
"532",23,6.8,5,86.930411,1
"533",14,6,5,39.673161,1
"534",14,6.5,5,32.482682,1
"535",6,2.8,5,1.193062,1
"536",50,6.7,5,43.0015,1
"537",8,6.1,5,2.275557,1
